phrase,target,file_path
"Markets had been expecting a poor performance , and the company 's stock was up 6 percent at  x20ac 23.89 US$ 33.84 in early afternoon trading in Helsinki",positive,files/input/train\positive\0032.txt
Net sales revenue per passenger is expected to increase,positive,files/input/train\positive\0033.txt
The transactions would increase earnings per share in the first quarter by some EUR0 .28,positive,files/input/train\positive\0034.txt
"Operating profit was EUR 9.8 mn , compared to a loss of EUR 12.7 mn in the corresponding period in 2009",positive,files/input/train\positive\0035.txt
Diluted earnings per share ( EPS ) rose to EUR 0.52 versus EUR 0.09,positive,files/input/train\positive\0036.txt
"Key shareholders of Finnish IT services provider TietoEnator Oyj on Friday rejected a hostile EUR1 .08 billion $ 1.67 billion offer from buyout shop Nordic Capital , giving new life to a possible counter offer from Blackstone Group LP and Norwegian telecom Telenor ASA",positive,files/input/train\positive\0037.txt
"For the last quarter of 2010 , Componenta 's net sales doubled to EUR131m from EUR76m for the same period a year earlier , while it moved to a zero pre-tax profit from a pre-tax loss of EUR7m",positive,files/input/train\positive\0038.txt
"The major breweries increased their domestic beer sales by 4.5 per cent last year , to 256.88 million litres from 245.92 million litres in 2004",positive,files/input/train\positive\0039.txt
"In Sweden , operating profit for the period under review totaled EUR 3.4 mn , up 30.8 % from the corresponding period in 2005",positive,files/input/train\positive\0040.txt
"According to Viking Line 's Managing Director , Nils-Erik Eklund , the company 's Board of Directors is very satisfied with Viking Line 's performance",positive,files/input/train\positive\0041.txt
That would be an increase from estimated sales of 117 million last year,positive,files/input/train\positive\0042.txt
Sanoma Magazines Finland 's net sales grew to EUR 140.1 mn from EUR 131.8 mn,positive,files/input/train\positive\0043.txt
"LONDON AFX - Shares in Rautaruukki Corp have been upgraded to ` hold ' from ` sell ' by ABN Amro , with the price target raised to 25.75 eur from 14.5 , said dealers",positive,files/input/train\positive\0044.txt
"`` This vessel order will help Aspo secure the long-term competitiveness of its fleet , both in terms of technology and pricing",positive,files/input/train\positive\0045.txt
"Net sales surged by 18.5 % to EUR167 .8 m. Teleste said that EUR20 .4 m , or 12.2 % , of the sales came from the acquisitions made in 2009",positive,files/input/train\positive\0046.txt
"Global sports equipment maker Amer Sports Corp. , whose brands include Atomic , Salomon and Wilson , saw a 64 percent increase in third-quarter net profit to EURO 47.4 million $ 65 million on strong sales and cost cuts",positive,files/input/train\positive\0047.txt
It estimates the operating profit to further improve from the third quarter,positive,files/input/train\positive\0048.txt
"Previously , EB delivered a custom solution for LG Electronics and now is making it commercially available for other mobile terminal vendors as well as to wireless operators",positive,files/input/train\positive\0049.txt
Finnish department store chain Stockmann Oyj Abp net profit rose to 39.8 mln euro ( $ 56.8 mln ) for the first nine months of 2007 from 37.4 mln euro ( $ 53.4 mln ) for the same period of 2006,positive,files/input/train\positive\0050.txt
"Finnish high technology provider Vaahto Group reports net sales of EUR 41.8 mn in the accounting period September 2007 - February 2008 , an increase of 11.2 % from a year earlier",positive,files/input/train\positive\0051.txt
"Cash flow from operations totalled EUR 7.4 mn , compared to a negative EUR 68.6 mn in the second quarter of 2008",positive,files/input/train\positive\0052.txt
Major Order in India Comptel Corporation has received a significant long-term order for mediation and provisioning solutions being used by a leading operator in India,positive,files/input/train\positive\0053.txt
Operating profit excluding non-recurring items increased by 27 % to EUR 81.9 mn from EUR 64.4 mn in the corresponding period in 2008,positive,files/input/train\positive\0054.txt
Our standardised services have met with a positive reception among our customers as well as at Itella,positive,files/input/train\positive\0055.txt
"Finnish investment group Panostaja Oyj said its net profit went up to 8.6 mln euro $ 11.4 mln in fiscal 2005-06 , ended October 31 , 2006 , from 2.8 mln euro $ 3.7 mln in the same period of fiscal 2004-05",positive,files/input/train\positive\0056.txt
It also turned to earnings per share ( EPS ) of EUR 0.08 versus loss per share of EUR 0.04,positive,files/input/train\positive\0057.txt
"Revenue from July to September grew 21 percent to EURO 2.3 billion , the Finnish company said Thursday",positive,files/input/train\positive\0058.txt
"Net income from life insurance rose to EUR 16.5 mn from EUR 14.0 mn , and net income from non-life insurance to EUR 22.6 mn from EUR 15.2 mn in 2009",positive,files/input/train\positive\0059.txt
"Arvo Vuorenmaa , the Loviisa plant 's general manager said the application for the new licence was a `` standard '' procedure and that he was `` quite confident '' about approval being granted",positive,files/input/train\positive\0060.txt
"In January-September 2009 , the Group 's net interest income increased to EUR 112.4 mn from EUR 74.3 mn in January-September 2008",positive,files/input/train\positive\0061.txt
"However , the proportion of the paid standing orders grew in 2009",positive,files/input/train\positive\0062.txt
The company 's market share is continued to increase further,positive,files/input/train\positive\0063.txt
"Raute posted a net profit of 1.8 mln euro $ 2.6 mln for the third quarter of 2007 , compared to a net loss of 299,000 euro $ 430,000 for the corresponding period of 2006",positive,files/input/train\positive\0064.txt
Finlan 's listed food industry company HKScan Group controlled companies in the Baltics improved revenues by EUR 3.5 mn to EUR 160.4 mn in 2010 from EUR 156.9 mn in the year before,positive,files/input/train\positive\0065.txt
"In Lithuania , operating profit rose to EUR 190,000 from EUR 70,000 in the corresponding period in 2005",positive,files/input/train\positive\0066.txt
"MegaFon 's subscriber base increased 16.1 % in 2009 to 50.5 million users as of December 31 , while its market share by the number of customers amounted to 24 % as of late 2009 , up from 23 % as of late 2008 , according to TeliaSonera estimates",positive,files/input/train\positive\0067.txt
"After the reporting period , BioTie North American licensing partner Somaxon Pharmaceuticals announced positive results with nalmefene in a pilot Phase 2 clinical trial for smoking cessation",positive,files/input/train\positive\0068.txt
"Operating profit of Kauppalehti group rose to EUR 1.5 mn from EUR 1.3 mn , and that of Marketplaces to EUR 1.3 mn from EUR 1.0 mn in the third quarter of 2006",positive,files/input/train\positive\0069.txt
"Sales improved to SEK 1,553 mn , compared with SEK 1,408 mn",positive,files/input/train\positive\0070.txt
"The company 's net profit rose 11.4 % on the year to 82.2 million euros in 2005 on sales of 686.5 million euros , 13.8 % up on the year , the company said earlier",positive,files/input/train\positive\0071.txt
Last year 's net sales rose to EUR 68.3 million from EUR 62.2 million,positive,files/input/train\positive\0072.txt
"The fair value of the investment properties totaled EUR 2,534.9 mn , up from EUR 2,455.1 mn in 2006",positive,files/input/train\positive\0073.txt
"Finnish financial group Aktia reports operating profit of EUR 44.4 mn in January-September 2009 , up from EUR 37.3 mn in the corresponding period in 2008",positive,files/input/train\positive\0074.txt
"Svyturys-Utenos Alus , which is controlled by the Nordic group Baltic Beverages Holding ( BBH ) , posted a 6.1 percent growth in beer sales for January-September to 101.99 million liters",positive,files/input/train\positive\0075.txt
"Order intake grew by 40 % year-on-year and 30 % year-on-year , respectively , to EUR 576 million and EUR 1.7 billion for the respective January-September and July-September 2010 periods",positive,files/input/train\positive\0076.txt
"Operating profit for the three-month period increased from EUR1 .2 m , while revenue increased from EUR20 .2 m , as compared to the corresponding period in 2005",positive,files/input/train\positive\0077.txt
"( ADP News ) - Feb 11 , 2009 - Finnish management software solutions provider Ixonos Oyj ( HEL : XNS1V ) said today its net profit rose to EUR 3.5 million ( USD 4.5 m ) for 2008 from EUR 3.1 million for 2007",positive,files/input/train\positive\0078.txt
The pretax profit of the group 's life insurance business increased to EUR36m from EUR27m,positive,files/input/train\positive\0079.txt
The agreement strengthens our long-term partnership with Nokia Siemens Networks,positive,files/input/train\positive\0080.txt
`` We are pleased with the efforts of both negotiating teams and look forward to a productive four years ahead . ',positive,files/input/train\positive\0081.txt
Operating result including non-recurring items rose to EUR 146mn from a loss of EUR 267mn in 2009,positive,files/input/train\positive\0082.txt
"Pretax profit totalled EUR 2.0 mn , compared to a loss of EUR 159.2 mn in the fourth quarter of 2008",positive,files/input/train\positive\0083.txt
"( ADP News ) - Oct 29 , 2008 - Finnish lifting equipment maker Konecranes Oyj ( OMX : KCR1V ) said today that its net profit rose to EUR 116.6 million ( USD 149.1 m ) in the first nine months of 2008 from EUR 73.6 million for the",positive,files/input/train\positive\0084.txt
"Clothing retail chain Sepp+ï¿½l+ï¿½ 's sales increased by 8 % to EUR 155.2 mn , and operating profit rose to EUR 31.1 mn from EUR 17.1 mn in 2004",positive,files/input/train\positive\0085.txt
"Earnings per share for the quarter were also higher year-on-year at 0.33 eur versus 0.27 , and above market expectations of 0.28 eur",positive,files/input/train\positive\0086.txt
"The world 's second largest stainless steel maker said net profit in the three-month period until Dec. 31 surged to euro603 million US$ 781 million , or euro3 .33 US$ 4.31 per share , from euro172 million , or euro0 .94 per share , the previous year",positive,files/input/train\positive\0087.txt
"Operating profit totalled EUR 0.4 mn , up from an operating loss of EUR 0.8 mn year-on-year",positive,files/input/train\positive\0088.txt
Operating profit rose to EUR 103.4 mn from EUR 23.2 in the corresponding period in 2006,positive,files/input/train\positive\0089.txt
Sales of security and system packaging increased slightly,positive,files/input/train\positive\0090.txt
Sports equipment sales also progressed well owing to the prolonged winter season,positive,files/input/train\positive\0091.txt
"Metsaliitto , however , narrowed its net loss for the second quarter of 2007 to 5.0 mln euro $ 6.9 mln from 61 mln euro $ 83.7 mln a year ago",positive,files/input/train\positive\0092.txt
"In the end of 2006 , the number of outlets will rise to 60-70",positive,files/input/train\positive\0093.txt
"A Helsinki : ELIiV today reported EPS of EUR1 .13 for 2009 , an increase over EPS of EUR1 .12 in 2008",positive,files/input/train\positive\0094.txt
Earnings per share EPS rose to EUR 0.11 from EUR 0.03,positive,files/input/train\positive\0095.txt
"Excluding non-recurring items , pre-tax profit surged 45 % to EUR80m",positive,files/input/train\positive\0096.txt
Finnish Bank of +ï¿½land reports its operating profit rose to EUR 21.3 mn in the second quarter of 2009 from EUR 6.1 mn in the corresponding period in 2008,positive,files/input/train\positive\0097.txt
"Cost savings will then rise to some 20 mln eur a year from 2007 , OKO said",positive,files/input/train\positive\0098.txt
"Nevertheless , its market share rose to 49.14 percent from 48.51 percent a year earlier",positive,files/input/train\positive\0099.txt
"The sale , which will result in a gain of some EUR 60 million in the second quarter of 2010 for Oriola-KD , supports the Finnish company 's strategy to focus on pharmaceutical wholesale and retail operations",positive,files/input/train\positive\0100.txt
"Finnish pulp and paper machinery maker Vaahto Group Oyj swung to a 1.1 mln euro $ 1.4 mln net profit in the fiscal 2005-06 , ended August 31 , 2006 , from a 249,000 euro $ 319,000 net loss in the fiscal 2004-05",positive,files/input/train\positive\0101.txt
"Operating profit was EUR 0.6 mn , up from a loss of EUR 19mn a year earlier",positive,files/input/train\positive\0102.txt
"The earnings per share for the quarter came in at 0.25 eur , up from the 0.20 eur of the same quarter a year earlier",positive,files/input/train\positive\0103.txt
"In 2008 , the deal is likely to bring savings of EUR 20mn-25mn",positive,files/input/train\positive\0104.txt
The growth of net sales has continued favourably in the Middle East and Africaand in Asia Pacific,positive,files/input/train\positive\0105.txt
The acquisition will considerably increase Kemira 's sales and market position in the Russian metal industry coatings market,positive,files/input/train\positive\0106.txt
Net sales surged by 30 % to EUR 36 million,positive,files/input/train\positive\0107.txt
"The disposal of Autotank will also strengthen Aspo 's capital structure , '' commented Gustav Nyberg , CEO of Aspo",positive,files/input/train\positive\0108.txt
Finnish KCI Konecranes has been awarded an order for four hot metal ladle cranes by Indian steel producer Bhushan Steel & Strips to be delivered in 2007,positive,files/input/train\positive\0109.txt
"The six breweries recorded a 5.2 percent growth in domestic beer sales last year to 270.21 million liters , from 256.88 million liters sold in 2005",positive,files/input/train\positive\0110.txt
`` Demand for sports equipment was good in 2005,positive,files/input/train\positive\0111.txt
"The company 's order book stood at 1.5 bln euro $ 2.2 bln on September 30 , 2007 , up by 24.2 pct on the year , with international orders amounting to 365 mln euro $ 534.3 mln",positive,files/input/train\positive\0112.txt
8 May 2009 - Finnish liquid handling products and diagnostic test systems maker Biohit Oyj ( HEL : BIOBV ) said today ( 8 May 2009 ) its net loss narrowed to EUR0 .1 m ( USD0 .14 m ) for the first quarter of 2009 from EUR0 .4 m for the same period of 2008,positive,files/input/train\positive\0113.txt
Sales rose 10 pct to 566 mln eur on the back of strong volume and favourable currency effects,positive,files/input/train\positive\0114.txt
"We succeeded in increasing our market share of sold apartment '' , comments Mr Kari Kauniskangas , Head of YIT International Construction Services",positive,files/input/train\positive\0115.txt
"The financial impact is estimated to be an annual improvement of EUR2 .0 m in the division 's results , as of fiscal year 2008",positive,files/input/train\positive\0116.txt
"EBIT totalled EUR 14.4 mn , compared to a loss of EUR 0.3 mn in the corresponding period in 2009",positive,files/input/train\positive\0117.txt
Its market share widened to 48.51 percent from 48.31 percent a year earlier,positive,files/input/train\positive\0118.txt
"EBITDA for the year 2009 improved to EUR484m , as compared with EUR472m in 2008",positive,files/input/train\positive\0119.txt
"HELSINKI ( AFX ) - Shares closed higher , led by Nokia after it announced plans to team up with Sanyo to manufacture 3G handsets , and by Nokian Tyres after its fourth-quarter earnings report beat analysts ' expectations , dealers said",positive,files/input/train\positive\0120.txt
"Progress Group , QPR 's representative in Saudi Arabia and North Africa , has signed a framework agreement for a long term strategic relationship with ISE",positive,files/input/train\positive\0121.txt
- Operating profit rose by 26.9 % to EUR 105.8 ( 83.4 ) million,positive,files/input/train\positive\0122.txt
"9 September 2010 - Finnish stationery and gift retailer Tiimari HEL : TII1V said today its net sales rose by 2 % year-on-year to EUR5 .7 m in August 2010 , driven by growth in Finland , while demand in the Baltics remained weak",positive,files/input/train\positive\0123.txt
Turnover rose to EUR21m from EUR17m,positive,files/input/train\positive\0124.txt
"Operating profit totalled EUR 83.0 mn , up from EUR 23.5 mn year-on-year",positive,files/input/train\positive\0125.txt
The company will make its marketing and sales investments initiated in 2009 even more efficient in 2010,positive,files/input/train\positive\0126.txt
"In the second quarter of 2010 , the company 's net profit was EUR1 .7 m compared to a net loss of EUR1 .3 m in April-June 2009",positive,files/input/train\positive\0127.txt
Pretax profit jumped to EUR 21.9 million from EUR 3.1 million,positive,files/input/train\positive\0128.txt
"Basware Corporation stock exchange release August 31 , 2010 at 16:25 Basware signed a large deal with an international industrial group Basware will deliver Invoice Automation solution and Connectivity Services to an international industrial group",positive,files/input/train\positive\0129.txt
"Advertising and circulation revenues grew by 3.4 % and by 0.4 % , respectively",positive,files/input/train\positive\0130.txt
"The Helsinki-based company , which also owns the Salomon , Atomic and Suunto brands , said net profit rose 15 percent in the three months through Dec. 31 to (  x20ac ) 47 million ( $ 61US million ) , from (  x20ac ) 40.8 million a year earlier",positive,files/input/train\positive\0131.txt
Nordea Group 's operating profit increased in 2010 by 18 percent year-on-year to 3.64 billion euros and total revenue by 3 percent to 9.33 billion euros,positive,files/input/train\positive\0132.txt
The EPS improved to EUR0 .38 from EUR0 .27,positive,files/input/train\positive\0133.txt
"Finnish lifting equipment maker Konecranes Oyj said on July 30 , 2008 that its net profit rose to 71.2 mln euro ( $ 111.1 mln ) for the first half of 2008 from 57.1 mln euro ( $ 89.1 mln ) for the same period of 2007",positive,files/input/train\positive\0134.txt
"With CapMan as a partner , we will be able to further develop our business and continue to focus on providing quality restaurant services for our customers , '' says Christopher Wynne , CEO of Papa John 's Russia",positive,files/input/train\positive\0135.txt
Revenue grew 12 percent to (  x20ac ) 3.6 billion ( US$ 4.5 billion ),positive,files/input/train\positive\0136.txt
Rapala said it estimates it will make savings of 1-2 mln eur a year by centralising its French operations at one site,positive,files/input/train\positive\0137.txt
Kone 's net sales rose by some 14 % year-on-year in the first nine months of 2008,positive,files/input/train\positive\0138.txt
"The total delivery volume of paper businesses in 2010 was 1,155,000 tonnes , up from 1,132,000 tonnes in 2009",positive,files/input/train\positive\0139.txt
"These financing arrangements will enable the company to ensure , in line with its treasury policy , that it has sufficient financial instruments at its disposal for its potential capital requirements",positive,files/input/train\positive\0140.txt
"HELSINKI ( AFX ) - Nokian Tyres reported a fourth quarter pretax profit of 61.5 mln eur , up from 48.6 mln on the back of strong sales",positive,files/input/train\positive\0141.txt
"The refining margin for the year was $ 13.39 - bbl , compared to $ 10.46 - bbl in the prior year",positive,files/input/train\positive\0142.txt
"In the third quarter , net sales increased by 12 % year-on-year to EUR 159.5 million , or by 6 % at comparable currency rates growth",positive,files/input/train\positive\0143.txt
"Shares of Standard Chartered ( STAN ) rose 1.2 % in the FTSE 100 , while Royal Bank of Scotland ( RBS ) shares rose 2 % and Barclays shares ( BARC ) ( BCS ) were up 1.7 %",positive,files/input/train\positive\0144.txt
"Turnover surged to EUR61 .8 m from EUR47 .6 m due to increasing service demand , especially in the third quarter , and the overall growth of its business",positive,files/input/train\positive\0145.txt
Net sales increased to EUR655m in April to June 2010 from EUR438m a year earlier,positive,files/input/train\positive\0146.txt
"In the reporting period , net sales rose by 8 % year-on-year to EUR64 .3 m , due to the business acquisitions realized during the first half of 2008-09 , the effect of which was EUR10 .9 m in the review period",positive,files/input/train\positive\0147.txt
"Both operating profit and net sales for the nine-month period increased , respectively by 26.6 % and 3.4 % , as compared to the corresponding period in 2006",positive,files/input/train\positive\0148.txt
Viking Line manages well with its current ferries,positive,files/input/train\positive\0149.txt
"In its financial report , published on Friday , SEB said its net profit soared to SEK6 .745 bn in 2010 from a year-earlier SEK1 .114 bn and proposed a 50 % dividend increase to SEK1 .50 per share",positive,files/input/train\positive\0150.txt
"MANAVIGATOR-September 7 , 2010-Kemira unveils Indian JV with IVRCL Finnish chemicals group Kemira ( HEL : KRA1V ) on Tuesday announced it has inked a deal to form a joint venture in India with local construction firm IVRCL Infrastructure and Projects Ltd ( BOM :530773 )",positive,files/input/train\positive\0151.txt
"Fiskars Brands report net sales of EUR 145.8 mn , up from EUR 138.4 mn",positive,files/input/train\positive\0152.txt
"Net interest income was EUR 152.2 mn , up from EUR 101.0 mn in 2008",positive,files/input/train\positive\0153.txt
"Finland 's national carrier Finnair PLC carried a record 8.5 million passengers in 2005 , an increase of 4.5 percent on the previous year , the airline reported Tuesday",positive,files/input/train\positive\0154.txt
"In January-September 2007 , Finnlines ' net sales rose to EUR 505.4 mn from EUR 473.5 mn in the corresponding period in 2006",positive,files/input/train\positive\0155.txt
"However , Biohit estimates its total net sales will continue to grow in 2009 , and that favourable trends in net sales will lead to a profit in 2009",positive,files/input/train\positive\0156.txt
"Finnish Suominen Corporation that specialises in wet wipes , nonwovens , and flexible packaging reports net sales of EUR 44.1 mn in the second quarter of 2010 , up from EUR 43.3 mn in the second quarter of 2009",positive,files/input/train\positive\0157.txt
"EPS for the quarter came in at 0.36 eur , up from 0.33 eur a year ago and ahead of forecast of 0.33 eur",positive,files/input/train\positive\0158.txt
"In the first nine months of 2010 , the company 's net loss narrowed to EUR415 ,000 from EUR7 .4 m for the corresponding period of 2009",positive,files/input/train\positive\0159.txt
Operating profit rose to EUR 3.11 mn from EUR 1.22 mn in the corresponding period in 2009,positive,files/input/train\positive\0160.txt
"In the third quarter , net sales increased by 12 % year-on-year to EUR159 .5 m , or by 6 % at comparable currency rates growth",positive,files/input/train\positive\0161.txt
"Finnish Talentum reports its operating profit increased to EUR 20.5 mn in 2005 from EUR 9.3 mn in 2004 , and net sales totaled EUR 103.3 mn , up from EUR 96.4 mn",positive,files/input/train\positive\0162.txt
"In the fourth quarter of 2008 , net sales increased by 2 % to EUR 1,050.7 mn from EUR 1,027.0 mn in the fourth quarter of 2007",positive,files/input/train\positive\0163.txt
Incap Contract Manufacturing Services Private Limited has inked agreements with six new customers in India,positive,files/input/train\positive\0164.txt
The company expects net sales to significantly increase from 2009,positive,files/input/train\positive\0165.txt
"Profit for the period was EUR 5.9 mn , up from EUR 1.3 mn",positive,files/input/train\positive\0166.txt
"The Lithuanian beer market made up 14.41 million liters in January , a rise of 0.8 percent from the year-earlier figure , the Lithuanian Brewers ' Association reporting citing the results from its members",positive,files/input/train\positive\0167.txt
HELSINKI AFX - KCI Konecranes said it has won an order for four hot metal ladle cranes from Indian steel producer Bhushan Steel and Strips Ltd.,positive,files/input/train\positive\0168.txt
Construction volumes meanwhile grow at a rate of 10-15 percent annually,positive,files/input/train\positive\0169.txt
Revenues at the same time grew 14 percent to 43 million euros,positive,files/input/train\positive\0170.txt
Operating profit increased by 145.1 % to EUR 8.3 mn from EUR 3.4 mn,positive,files/input/train\positive\0171.txt
"Equity ratio was 60.9 % compared to 54.2 % In the third quarter of 2007 , net sales of the Frozen Foods Business totaled EUR 11.0 , up by about 5 % from the third quarter of 2006",positive,files/input/train\positive\0172.txt
Finnish forest machinery manufacturer Ponsse 's net sales grew to EUR 51.3 mn in the first quarter of 2010 from EUR 37.5 mn in the corresponding period in 2009,positive,files/input/train\positive\0173.txt
Finnish elevators and escalators maker KONE Corporation said on Tuesday ( 18 March ) that it has received a major order from Sir Robert McAlpine to supply all elevators and escalators for the Watermark Place project in the City of London,positive,files/input/train\positive\0174.txt
"Finnish security and privacy software solutions developer Stonesoft Oyj said on January 7 , 2008 that the preliminary sales of its StoneGate products grew by 59 pct year-on-year to 3.6 mln euro ( $ 5.3 mln ) for the fourth quarter of 2007",positive,files/input/train\positive\0175.txt
"Earnings per share for January-June 2010 were EUR0 .30 , an increase of 20 % year-on-year EUR0 .25",positive,files/input/train\positive\0176.txt
The company turned to earnings per share ( EPS ) of EUR 0.03 versus loss per share of EUR 0.01,positive,files/input/train\positive\0177.txt
"Uponor made an operating profit of EUR 151.0 mn , up from EUR 143.7 mn , which made 2007 a record year",positive,files/input/train\positive\0178.txt
Circulation revenue has increased by 5 % in Finland and 4 % in Sweden in 2008,positive,files/input/train\positive\0179.txt
Operating profit rose to 22.1 mln eur from 19.9 mln,positive,files/input/train\positive\0180.txt
"a January 11 , 2010 EPHC board of directors has approved an increase in the quarterly dividend from $ 0.03 to $ 0.05 per share",positive,files/input/train\positive\0181.txt
"Lithuanian beer makers sold 256.88 million liters of beer in 2005 , a rise of 4.5 per cent from the year-earlier figure of 245.92 million liters",positive,files/input/train\positive\0182.txt
"Sales in Latin America increased by 42 % to EUR 432mn , and a total of 8.7 mn mobile devices were sold in the area , representing an increase of 32 % from the corresponding period in 2009",positive,files/input/train\positive\0183.txt
"Finnish energy company Fortum Oyj said on November 13 , 2007 it was granted an environmental permit to build a biofuel-fired combined heat and power CHP plant in Vartan harbor in eastern Stockholm",positive,files/input/train\positive\0184.txt
"Turun kaupunkin , Finland based company has awarded contract to Lemminkainen Talotekniikka Oy for electrical installation work",positive,files/input/train\positive\0185.txt
The actions are expected to deliver annual cost savings of some EUR15-20m,positive,files/input/train\positive\0186.txt
"Operating profit totalled EUR 21.1 mn , up from EUR 18.6 mn in 2007 , representing 9.7 % of net sales",positive,files/input/train\positive\0187.txt
The stock rose for a second day on Wednesday bringing its two-day rise to GBX12 .0 or 2.0 %,positive,files/input/train\positive\0188.txt
"Ragutis , which is based in Lithuania 's second-largest city Kaunas , boosted its sales last year 22.3 per cent to 36.4 million liters",positive,files/input/train\positive\0189.txt
"( ADP News ) - Oct 1 , 2008 - Finnish consulting and engineering company Poyry Oyj ( OMX : POY1V ) said today it was awarded a EUR 5.2 million ( USD 7.4 m ) extension to their existing consultancy engineering contract with Venezue",positive,files/input/train\positive\0190.txt
Exports grew 16.5 percent to 19.1 million liters,positive,files/input/train\positive\0191.txt
